time,semitone
20400,62
20640,64
20880,65
21360,64
21840,62
22320,60
22800,60
24480,57
24720,55
25200,53
25440,55
25680,53
25920,57
26400,57
28080,62
28320,64
28560,65
29040,64
29520,63
30000,61
30480,60
32160,57
32400,55
33120,57
33360,57
33840,62
34320,64
34560,65
35520,57
36240,65
37920,65
38160,65
38880,65
39120,65
39840,67
40080,65
40560,64
41040,62
41520,64
42000,65
43200,57
43920,55
44400,53
44880,53
45360,55
45840,53
50400,67
50640,67
51120,69
51600,67
52080,65
52560,62
53040,65
54240,67
54480,67
54960,69
55440,67
58080,67
58320,67
58560,67
58800,69
59280,67
59760,65
60240,62
60720,65
61440,70
62400,69
63360,65
64320,67
65280,65
65760,65
66000,65
66240,65
66480,65
66960,64
67440,60
67920,60
68400,62
68880,65
69600,65
69840,65
70320,65
70800,69
71280,67
71760,65
72240,64
72720,65
74160,65
74640,67
76080,64
76560,65
81120,65
81360,65
81600,65
81840,65
82320,64
82800,60
83280,60
83760,62
84240,65
84960,65
85200,65
85440,65
85680,65
86160,69
86640,67
87120,65
87600,64
88080,65
89520,65
90000,67
91440,64
91920,65
102960,62
103440,64
103680,65
104640,57
105360,65
107040,65
107280,65
108000,65
108240,65
108960,67
109200,65
109680,64
110160,62
110640,64
111120,65
112320,57
113040,55
113520,53
114000,53
114480,55
114960,53
119520,67
119760,67
120240,69
120720,67
121200,65
121680,62
122160,65
123360,67
123600,67
124080,69
124560,67
127200,67
127440,67
127680,67
127920,69
128400,67
128880,65
129360,62
129840,65
130560,70
131520,69
132480,65
133440,67
134400,65
134880,65
135120,65
135360,65
135600,65
136080,64
136560,60
137040,60
137520,62
138000,65
138720,65
138960,65
139440,65
139920,69
140400,67
140880,65
141360,64
141840,65
143280,65
143760,67
145200,64
145680,65
150240,65
150480,65
150720,65
150960,65
151440,64
151920,60
152400,60
152880,62
153360,65
154080,65
154320,65
154560,65
154800,65
155280,69
155760,67
156240,65
156720,64
157200,65
158640,65
159120,67
160560,64
161040,65
165600,67
165840,67
166320,69
166800,67
167280,65
167760,62
168240,65
169440,67
169680,67
170160,69
170640,67
173280,67
173520,67
173760,67
174000,69
174480,67
174960,65
175440,62
175920,65
176640,70
177600,69
178560,65
179520,67
180480,65
180960,65
181200,65
181440,65
181680,65
182160,64
182640,60
183120,60
183600,62
184080,65
184800,65
185040,65
185520,65
186000,69
186480,67
186960,65
187440,64
187920,65
188160,60
188160,48
188400,60
188400,48
188640,60
188640,48
188880,60
188880,48
189360,65
189360,60
189360,48
189840,67
190080,61
190080,49
190320,61
190320,49
190560,61
190560,49
190800,61
190800,49
191280,64
191280,61
191280,49
191760,64
191760,65
191760,52
192240,62
192240,50
196320,65
196560,65
196800,65
197040,65
197520,64
198000,60
198480,60
198960,62
199440,65
200160,65
200400,65
200640,65
200880,65
201360,69
201840,67
202320,65
202800,64
203280,65
203520,60
203520,48
203760,60
203760,48
204000,60
204000,48
204240,60
204240,48
204720,65
204720,60
204720,48
205200,67
205440,61
205440,49
205680,61
205680,49
205920,61
205920,49
206160,61
206160,49
206640,64
206640,61
206640,49
207120,64
207120,65
207120,52
207600,62
207600,50
